timestamp,valor_temperatura_exterior,valor_luminosidad_exterior,valor_humedad,valor_pureza_aire,temperatura_aire_acondicionado,luminosidad_encendido_luces,encender_humidificador,encender_purificador
2024-09-27 08:00:00,17.432897156473945,726,59.0,161,22.0,206,0,1
2024-09-27 09:00:00,18.97029662385464,701,54.0,166,23.5,165,0,1
2024-09-27 10:00:00,18.747922765049303,751,56.0,161,22.2,277,0,1
2024-09-27 11:00:00,19.791870949683386,751,56.0,156,24.5,271,0,1
2024-09-27 12:00:00,19.97412647181868,751,58.0,161,23.6,297,0,1
2024-09-27 13:00:00,20.004705593102308,726,60.0,161,24.2,106,0,1
2024-09-27 14:00:00,20.406948866002143,676,60.0,136,22.0,363,0,1
2024-09-27 15:00:00,20.881656117330447,676,50.0,161,22.5,439,0,1
2024-09-27 16:00:00,21.992191493711044,626,40.0,186,21.8,498,0,1
2024-09-27 17:00:00,21.95328150829036,576,40.0,200,21.3,434,0,1
2024-09-27 18:00:00,21.509222385628018,551,45.0,195,21.5,341,0,1
2024-09-28 08:00:00,18.146381512582952,324,61.8,33,22.1,626,0,0
2024-09-28 09:00:00,19.173335870555658,274,59.8,38,23.1,742,0,0
2024-09-28 10:00:00,18.073524550365196,249,61.8,43,21.8,794,0,0
2024-09-28 11:00:00,19.61025279475471,249,61.8,20,22.3,772,0,0
2024-09-28 12:00:00,20.3584978851187,349,61.8,20,21.3,522,0,0
2024-09-28 13:00:00,21.414577368347704,349,70.0,20,22.8,646,0,0
2024-09-28 14:00:00,20.634751848497547,399,70.0,20,23.9,642,0,0
2024-09-28 15:00:00,20.916150214294596,449,70.0,25,21.7,650,0,0
2024-09-28 16:00:00,21.025554750596765,549,70.0,30,23.1,494,0,0
2024-09-28 17:00:00,21.107623656318577,599,70.0,20,21.3,397,0,0
2024-09-28 18:00:00,21.78347294406057,599,60.0,20,24.5,437,0,0
2024-09-29 08:00:00,18.278747257291297,243,63.9,157,23.5,749,0,1
2024-09-29 09:00:00,18.054062409808203,243,65.9,132,22.5,743,0,1
2024-09-29 10:00:00,19.704421893419003,293,70.0,127,22.7,786,0,1
2024-09-29 11:00:00,19.117862606537802,193,60.0,122,24.5,785,0,1
2024-09-29 12:00:00,19.907546635169762,193,65.0,127,23.0,702,0,1
2024-09-29 13:00:00,20.839225238536955,243,63.0,102,23.3,746,0,1
2024-09-29 14:00:00,20.667578826367773,293,63.0,97,23.5,781,0,1
2024-09-29 15:00:00,21.52303748304727,268,61.0,72,24.1,719,0,1
2024-09-29 16:00:00,21.587931480605047,243,56.0,97,22.9,710,0,1
2024-09-29 17:00:00,22.34752027371114,243,61.0,72,23.2,727,0,1
2024-09-29 18:00:00,22.221538022402527,293,70.0,67,22.0,726,0,1
2024-09-30 08:00:00,17.72438306830079,246,31.5,20,23.0,729,1,0
2024-09-30 09:00:00,18.208022365540884,246,33.5,20,24.3,719,1,0
2024-09-30 10:00:00,19.180026157851064,246,38.5,20,25.0,779,1,0
2024-09-30 11:00:00,19.118481151815892,246,38.5,25,21.8,776,1,0
2024-09-30 12:00:00,19.863900220484506,221,33.5,50,24.3,788,1,0
2024-09-30 13:00:00,20.253371166442264,321,33.5,55,21.2,504,1,0
2024-09-30 14:00:00,21.284872620391994,421,31.5,60,22.9,550,1,0
2024-09-30 15:00:00,21.057750510764354,371,36.5,60,23.9,596,1,0
2024-09-30 16:00:00,21.99933711388006,371,31.5,85,24.3,530,1,0
2024-09-30 17:00:00,21.420127575171563,371,30.0,60,22.0,649,1,0
2024-09-30 18:00:00,21.013583679060382,421,40.0,85,23.7,625,1,0
2024-10-01 08:00:00,18.988435999070187,296,70.0,130,22.7,765,0,1
2024-10-01 09:00:00,17.87923961442632,321,65.0,105,23.2,522,0,1
2024-10-01 10:00:00,18.367252203008263,321,65.0,105,24.8,647,0,1
2024-10-01 11:00:00,20.313444523927064,321,67.0,110,24.8,533,0,1
2024-10-01 12:00:00,20.10221394124853,346,69.0,105,24.9,558,0,1
2024-10-01 13:00:00,20.09893608019109,371,67.0,105,22.0,673,0,1
2024-10-01 14:00:00,21.080205870160228,421,62.0,105,21.2,668,0,1
2024-10-01 15:00:00,21.59193185773264,521,57.0,100,23.0,451,0,1
2024-10-01 16:00:00,20.751324464496484,421,62.0,125,22.5,579,0,1
2024-10-01 17:00:00,22.230651834930935,446,67.0,130,22.6,674,0,1
2024-10-01 18:00:00,21.887068168700782,446,65.0,105,22.5,679,0,1
2024-10-02 08:00:00,17.912007354903,175,36.9,20,24.2,711,0,0
2024-10-02 09:00:00,18.695488837965637,200,34.9,25,23.5,723,1,0
2024-10-02 10:00:00,18.243500997963757,150,34.9,25,23.5,748,1,0
2024-10-02 11:00:00,19.767247079264312,175,36.9,50,24.2,725,1,0
2024-10-02 12:00:00,19.735688728056108,125,36.9,50,22.0,782,1,0
2024-10-02 13:00:00,19.880845673936506,100,36.9,50,23.9,751,1,0
2024-10-02 14:00:00,20.874089355363786,100,38.9,75,21.5,754,1,0
2024-10-02 15:00:00,21.826698285161417,125,48.9,80,23.6,760,0,0
2024-10-02 16:00:00,21.85443446007921,100,38.9,80,22.6,718,0,0
2024-10-02 17:00:00,21.971048089320004,100,38.9,105,24.5,700,0,1
2024-10-02 18:00:00,21.82026536737849,100,36.9,80,24.7,726,0,1
2024-10-03 08:00:00,17.40651263629395,280,35.5,75,24.2,758,0,1
